,dG0_prime,dG0_prime_std,dGm_prime,logRI,formula
"{u'C00286': 1, u'C00008': 1, u'C00002': -1, u'C00361': -1}",2.74,2.39,2.74,0.55,C00002 + C00361 <=> C00008 + C00286
"{u'C14095': 1, u'C14094': -1}",71.98,4.55,71.98,29.05,C14094 <=> C14095
"{u'C00022': 2.0, u'C06033': -1}",16.68,2.37,-0.43,-0.12,C06033 <=> 2 C00022
"{u'C00151': -1, u'C17229': 1, u'C17228': -1, u'C00161': 1}",170.61,0.0,170.61,34.43,C00151 + C17228 <=> C00161 + C17229
"{u'C00698': 1, u'C00004': -1, u'C00003': 1, u'C06329': -1, u'C02222': 1}",1.62,0.0,-15.5,-2.5,C00004 + C06329 <=> C00003 + C00698 + C02222
"{u'C17209': 1, u'C00092': -1, u'C00009': 1}",-116.82,4.56,-133.93,-36.04,C00092 <=> C00009 + C17209
"{u'C02703': -1, u'C00014': 1, u'C00059': 1, u'C00001': -1, u'C00022': 1}",128.25,70710.68,94.02,18.97,C00001 + C02703 <=> C00014 + C00022 + C00059
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C04731': 1, u'C04599': -1}",6.61,0.0,23.72,3.83,C00005 + C00007 + C00080 + C04599 <=> C00001 + C00006 + C04731
"{u'C00033': 1, u'C05993': -1, u'C00001': -1, u'C00020': 1}",-1216.45,100000.0,-1233.56,-331.92,C00001 + C05993 <=> C00020 + C00033
"{u'C01050': -1, u'C00009': 1, u'C00008': 1, u'C00002': -1, u'C00041': -1, u'C01212': 1}",-27.06,2.22,-27.06,-3.64,C00002 + C00041 + C01050 <=> C00008 + C00009 + C01212
"{u'C00027': 1, u'C01029': -1, u'C00007': -1, u'C00001': -1, u'C00986': 1, u'C05936': 1}",-93.81,5.79,-110.93,-17.91,C00001 + C00007 + C01029 <=> C00027 + C00986 + C05936
"{u'C00042': -1, u'C00122': 1, u'C05819': 1, u'C00828': -1}",14.48,3.62,14.48,2.92,C00042 + C00828 <=> C00122 + C05819
"{u'C06089': -1, u'C18228': 1, u'C00013': 1}",-58.75,16.97,-75.87,-20.41,C06089 <=> C00013 + C18228
"{u'C00019': -1, u'C03711': 1, u'C00021': 1, u'C02735': -1}",20.76,100000.0,20.76,4.19,C00019 + C02735 <=> C00021 + C03711
"{u'C00027': 1, u'C00014': 1, u'C00007': -1, u'C00134': -1, u'C00001': -1, u'C00555': 1}",-92.91,4.58,-110.02,-17.76,C00001 + C00007 + C00134 <=> C00014 + C00027 + C00555
"{u'C00418': -1, u'C00002': -1, u'C01107': 1, u'C00008': 1}",-15.14,2.09,-15.14,-3.06,C00002 + C00418 <=> C00008 + C01107
"{u'C00011': 1, u'C00004': 1, u'C00080': 1, u'C00141': 1, u'C00003': -1, u'C01088': -1}",1.55,5.0,-15.57,-2.51,C00003 + C01088 <=> C00004 + C00011 + C00080 + C00141
"{u'C11402': -1, u'C11404': 1, u'C00001': -1}",-48.15,4.06,-48.15,-19.43,C00001 + C11402 <=> C11404
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C11896': -1, u'C11898': 1}",-406.11,3.25,-389.0,-62.8,C00005 + C00007 + C00080 + C11896 <=> C00001 + C00006 + C11898
"{u'C19747': 1, u'C00013': 1, u'C00448': -1}",-355.96,12.15,-373.07,-100.38,C00448 <=> C00013 + C19747
"{u'C00065': -1, u'C00155': -1, u'C00001': 1, u'C02291': 1}",-29.89,2.69,-12.78,-3.44,C00065 + C00155 <=> C00001 + C02291
"{u'C19683': 1, u'C00058': 1, u'C00001': -1, u'C19684': -1}",93.67,6.09,76.55,20.6,C00001 + C19684 <=> C00058 + C19683
"{u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1, u'C00001': 1, u'C00067': 1, u'C07480': 1, u'C07481': -1}",-417.56,3.7,-417.56,-56.18,C00004 + C00007 + C00080 + C07481 <=> C00001 + C00003 + C00067 + C07480
"{u'C00003': -1, u'C14145': -1, u'C00004': 1, u'C02232': 1, u'C00080': 1}",18.14,0.98,18.14,3.66,C00003 + C14145 <=> C00004 + C00080 + C02232
"{u'C00019': -1, u'C00021': 1, u'C05298': -1, u'C05299': 1}",-10.67,100000.0,-10.67,-2.15,C00019 + C05298 <=> C00021 + C05299
"{u'C00031': 1, u'C00035': 1, u'C00001': -1, u'C00394': -1}",-29.06,3.38,-46.18,-12.42,C00001 + C00394 <=> C00031 + C00035
"{u'C00025': 1, u'C06625': 1, u'C00013': 1, u'C00083': -1, u'C00020': 1, u'C00064': -1, u'C00001': -1, u'C00002': -1}",-30.56,2.47,-47.68,-5.5,C00001 + C00002 + C00064 + C00083 <=> C00013 + C00020 + C00025 + C06625
"{u'C00007': -1, u'C10700': 1, u'C13632': -1, u'C00633': 1}",-374.49,3.41,-374.49,-75.57,C00007 + C13632 <=> C00633 + C10700
"{u'C00227': -1, u'C02727': 1, u'C00047': -1, u'C00009': 1}",-35.22,2.21,-35.22,-7.11,C00047 + C00227 <=> C00009 + C02727
"{u'C00717': -1, u'C00004': 1, u'C00003': -1, u'C01370': 1, u'C00080': 1}",40.03,0.0,40.03,8.08,C00003 + C00717 <=> C00004 + C00080 + C01370
"{u'C00019': -1, u'C00814': 1, u'C06563': -1, u'C00021': 1}",-10.58,100000.0,-10.58,-2.13,C00019 + C06563 <=> C00021 + C00814
"{u'C00071': -1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C00001': -1, u'C00162': 1}",-44.88,0.0,-44.88,-9.06,C00001 + C00003 + C00071 <=> C00004 + C00080 + C00162
"{u'C00010': 1, u'C00223': -1, u'C16370': 1, u'C12138': -1}",-184.33,100000.0,-184.33,-37.2,C00223 + C12138 <=> C00010 + C16370
"{u'C02112': -1, u'C00002': -1, u'C03974': 1, u'C00008': 1}",5.47,0.0,5.47,1.1,C00002 + C02112 <=> C00008 + C03974
"{u'C00001': -1, u'C00208': 1, u'C00009': 2.0, u'C00103': -2.0}",-17.87,1.9,-34.99,-5.65,C00001 + 2 C00103 <=> 2 C00009 + C00208
"{u'C07108': -1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C16544': 1}",-395.06,3.1,-377.95,-61.02,C00005 + C00007 + C00080 + C07108 <=> C00001 + C00006 + C16544
"{u'C01054': -1, u'C19820': 1}",-352.4,300000.0,-352.4,-142.23,C01054 <=> C19820
"{u'C00011': 1, u'C00080': 1, u'C06318': -1, u'C00004': 1, u'C00003': -1, u'C00230': 1}",-35.58,6.9,-52.7,-8.51,C00003 + C06318 <=> C00004 + C00011 + C00080 + C00230
"{u'C00019': -1, u'C05176': 1, u'C06161': -1, u'C00021': 1, u'C00080': 1}",-37.88,141421.36,-37.88,-7.64,C00019 + C06161 <=> C00021 + C00080 + C05176
"{u'C00283': 1, u'C00080': -1, u'C00320': -1, u'C00127': 1, u'C00051': -2.0, u'C00094': 1}",-47.76,0.0,-47.76,-6.43,2 C00051 + C00080 + C00320 <=> C00094 + C00127 + C00283
"{u'C00035': 1, u'C00009': 1, u'C00130': -1, u'C00044': -1, u'C00049': -1, u'C03794': 1}",6.69,2.15,6.69,0.9,C00044 + C00049 + C00130 <=> C00009 + C00035 + C03794
"{u'C00016': 1, u'C00632': 1, u'C00007': -1, u'C00108': -1, u'C01352': -1, u'C00001': 1}",-427.23,4.64,-410.12,-66.21,C00007 + C00108 + C01352 <=> C00001 + C00016 + C00632
"{u'C00007': -1, u'C00027': 1, u'C00048': 1, u'C00160': -1}",-88.84,4.31,-88.84,-17.93,C00007 + C00160 <=> C00027 + C00048
"{u'C16354': 1, u'C16313': -1, u'C00029': -1, u'C00015': 1}",-65.31,2.7,-65.31,-13.18,C00029 + C16313 <=> C00015 + C16354
"{u'C05618': 1, u'C12837': -1, u'C00004': 1, u'C00003': -1, u'C00080': 1}",-43.35,100000.0,-43.35,-8.75,C00003 + C12837 <=> C00004 + C00080 + C05618
"{u'C00007': -1, u'C00546': 1, u'C00033': 1, u'C15499': -1}",-440.12,4.13,-440.12,-88.82,C00007 + C15499 <=> C00033 + C00546
"{u'C00744': -1, u'C00019': -1, u'C00021': 1, u'C01457': 1}",41.45,100000.0,41.45,8.36,C00019 + C00744 <=> C00021 + C01457
"{u'C00001': -1, u'C00058': 1, u'C00571': 1, u'C11519': -1}",-29.42,5.34,-46.54,-12.52,C00001 + C11519 <=> C00058 + C00571
"{u'C00206': -1, u'C00002': -1, u'C00131': 1, u'C00008': 1}",3.13,1.46,3.13,0.63,C00002 + C00206 <=> C00008 + C00131
"{u'C00121': 1, u'C00212': -1, u'C00147': 1, u'C00001': -1}",-4.83,1.76,-21.95,-5.91,C00001 + C00212 <=> C00121 + C00147
"{u'C01352': 1, u'C00016': -1, u'C04760': -1, u'C05460': 1}",45.25,3.41,45.25,9.13,C00016 + C04760 <=> C01352 + C05460
"{u'C00072': -1, u'C00027': -1, u'C05422': 1, u'C00001': 2.0}",0.0,0.0,17.12,4.61,C00027 + C00072 <=> 2 C00001 + C05422
"{u'C00679': -1, u'C01146': 1, u'C00022': 1}",22.2,2.82,5.08,1.37,C00679 <=> C00022 + C01146
"{u'C19801': 1, u'C01054': -1}",-397.18,400000.0,-397.18,-160.31,C01054 <=> C19801
"{u'C00007': -1, u'C00011': 1, u'C00078': -1, u'C00014': 1, u'C03230': 1}",-388.95,6.37,-406.06,-65.56,C00007 + C00078 <=> C00011 + C00014 + C03230
"{u'C03910': -1, u'C01802': 1, u'C00084': 1}",22.84,3.46,5.73,1.54,C03910 <=> C00084 + C01802
"{u'C00672': -1, u'C00673': 1}",-28.93,3.4,-28.93,-11.68,C00672 <=> C00673
"{u'C00104': -1, u'C00001': -1, u'C00009': 1, u'C00130': 1}",4.2,3.31,-12.91,-3.48,C00001 + C00104 <=> C00009 + C00130
"{u'C01172': 1, u'C00668': -1}",-1.31,2.96,-1.31,-0.53,C00668 <=> C01172
"{u'C11435': -1, u'C11436': 1, u'C00002': -1, u'C00008': 1}",-7.96,4.13,-7.96,-1.61,C00002 + C11435 <=> C00008 + C11436
"{u'C00027': 1, u'C00014': 1, u'C00022': 1, u'C00007': -1, u'C00133': -1, u'C00001': -1}",-96.09,4.37,-113.2,-18.28,C00001 + C00007 + C00133 <=> C00014 + C00022 + C00027
"{u'C00886': -1, u'C04372': 1, u'C00344': -1, u'C00066': 1}",0.0,0.0,0.0,0.0,C00344 + C00886 <=> C00066 + C04372
"{u'C00011': 1, u'C03227': -1, u'C05636': 1}",-19.29,3.11,-36.4,-9.8,C03227 <=> C00011 + C05636
"{u'C00025': 1, u'C00026': -1, u'C00233': 1, u'C00123': -1}",-0.8,1.59,-0.8,-0.16,C00026 + C00123 <=> C00025 + C00233
"{u'C18066': -1, u'C18067': 1, u'C00001': -1}",-48.15,4.06,-48.15,-19.43,C00001 + C18066 <=> C18067
"{u'C00055': 1, u'C00319': -1, u'C00307': -1, u'C03640': 1}",206.86,70710.68,206.86,41.75,C00307 + C00319 <=> C00055 + C03640
"{u'C16453': -1, u'C00006': 1, u'C00005': -1, u'C19574': 1, u'C00080': -1}",48.11,0.0,48.11,9.71,C00005 + C00080 + C16453 <=> C00006 + C19574
"{u'C00329': -1, u'C00008': 1, u'C00002': -1, u'C00352': 1}",-9.76,2.96,-9.76,-1.97,C00002 + C00329 <=> C00008 + C00352
"{u'C00007': -1, u'C15606': -1, u'C08276': 1, u'C00058': 1, u'C00237': 1}",-518.33,4.66,-535.45,-86.45,C00007 + C15606 <=> C00058 + C00237 + C08276
"{u'C00008': 1, u'C01243': -1, u'C01272': 1, u'C00002': -1}",-25.12,1.39,-25.12,-5.07,C00002 + C01243 <=> C00008 + C01272
"{u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C00633': -1, u'C00001': -1, u'C00156': 1}",-38.88,1.14,-38.88,-7.85,C00001 + C00006 + C00633 <=> C00005 + C00080 + C00156
"{u'C00080': 3.0, u'C00004': 3.0, u'C00003': -3.0, u'C00001': -1, u'C00088': 1, u'C01358': -1}",-91.31,0.0,-91.31,-9.21,C00001 + 3 C00003 + C01358 <=> 3 C00004 + 3 C00080 + C00088
"{u'C04371': 1, u'C00004': -1, u'C00003': 1, u'C01892': -1, u'C00080': -1}",-1.08,1.27,-1.08,-0.22,C00004 + C00080 + C01892 <=> C00003 + C04371
"{u'C00186': -1, u'C00084': 1, u'C00058': 1}",23.26,1.86,6.15,1.65,C00186 <=> C00058 + C00084
"{u'C00364': 1, u'C00365': -1, u'C00016': 1, u'C00101': 1, u'C00143': -1, u'C01352': -1}",-56.27,4.03,-56.27,-7.57,C00143 + C00365 + C01352 <=> C00016 + C00101 + C00364
"{u'C04767': 1, u'C01121': -1, u'C03442': -1, u'C00363': 1}",-17.31,2.19,-17.31,-3.49,C01121 + C03442 <=> C00363 + C04767
"{u'C00248': 1, u'C00004': 1, u'C00003': -1, u'C00579': -1, u'C00080': 1}",2.74,0.94,2.74,0.55,C00003 + C00579 <=> C00004 + C00080 + C00248
"{u'C00010': 1, u'C00037': -1, u'C05598': 1, u'C00582': -1}",-25.04,2.43,-25.04,-5.05,C00037 + C00582 <=> C00010 + C05598
"{u'C00025': 1, u'C00026': -1, u'C00902': 1, u'C01933': -1}",-7.11,1.84,-7.11,-1.43,C00026 + C01933 <=> C00025 + C00902
"{u'C00094': -1, u'C00506': 1, u'C01005': -1, u'C00009': 1}",-313.82,70710.68,-313.82,-63.33,C00094 + C01005 <=> C00009 + C00506
"{u'C00010': -1, u'C16462': -1, u'C00013': 1, u'C00020': 1, u'C16464': 1, u'C00002': -1}",-10.79,1.47,-10.79,-1.45,C00002 + C00010 + C16462 <=> C00013 + C00020 + C16464
"{u'C07123': -1, u'C00163': 1, u'C00001': -1, u'C00596': 1}",-66.69,2.61,-83.81,-22.55,C00001 + C07123 <=> C00163 + C00596
"{u'C01275': -1, u'C00001': -1, u'C03057': 1, u'C00022': 1}",11.6,2.08,-5.52,-1.48,C00001 + C01275 <=> C00022 + C03057
"{u'C00080': 1, u'C00135': 1, u'C00004': 1, u'C00003': -1, u'C00001': -1, u'C01929': -1}",-33.49,1.87,-33.49,-6.76,C00001 + C00003 + C01929 <=> C00004 + C00080 + C00135
"{u'C00049': 1, u'C00152': -1, u'C00014': 1, u'C00001': -1}",-16.8,3.57,-33.92,-9.13,C00001 + C00152 <=> C00014 + C00049
"{u'C00511': -1, u'C00024': -1, u'C00894': 1, u'C00033': 1}",-4.94,1.45,-4.94,-1.0,C00024 + C00511 <=> C00033 + C00894
"{u'C11174': 1, u'C00002': -1, u'C01204': -1, u'C00008': 1}",5.8,1.28,5.8,1.17,C00002 + C01204 <=> C00008 + C11174
"{u'C00063': -1, u'C00022': -1, u'C00074': 1, u'C00112': 1}",26.3,2.39,26.3,5.31,C00022 + C00063 <=> C00074 + C00112
"{u'C13623': 1, u'C13622': -1, u'C13645': 1}",42.22,0.0,25.1,6.75,C13622 <=> C13623 + C13645
"{u'C00006': -2.0, u'C00005': 2.0, u'C00080': 2.0, u'C00504': 1, u'C00101': -1}",38.76,3.71,38.76,5.21,2 C00006 + C00101 <=> 2 C00005 + 2 C00080 + C00504
"{u'C16329': -1, u'C16328': 1, u'C00001': 1}",0.7,1.48,0.7,0.28,C16329 <=> C00001 + C16328
"{u'C00104': 1, u'C00085': 1, u'C00081': -1, u'C00095': -1}",-19.4,1.57,-19.4,-3.91,C00081 + C00095 <=> C00085 + C00104
"{u'C00029': -1, u'C17240': 1, u'C17239': -1, u'C00015': 1}",-56.68,70710.68,-56.68,-11.44,C00029 + C17239 <=> C00015 + C17240
"{u'C00025': 1, u'C00797': 1, u'C01047': -1, u'C00001': -1}",-5.86,2.32,-22.97,-6.18,C00001 + C01047 <=> C00025 + C00797
"{u'C00512': -1, u'C00009': 2.0, u'C00139': 1, u'C00008': 2.0, u'C00138': -1, u'C00002': -2.0, u'C00001': -2.0, u'C06322': 1}",-50.6,6.46,-84.83,-6.85,2 C00001 + 2 C00002 + C00138 + C00512 <=> 2 C00008 + 2 C00009 + C00139 + C06322
"{u'C00029': -1, u'C00052': 1}",2.95,0.84,2.95,1.19,C00029 <=> C00052
"{u'C05478': -1, u'C00004': 1, u'C00003': -1, u'C05477': 1, u'C00080': 1}",3.82,1.54,3.82,0.77,C00003 + C05478 <=> C00004 + C00080 + C05477
"{u'C00011': 1, u'C00083': -1, u'C00024': 1}",-14.11,3.2,-31.22,-8.4,C00083 <=> C00011 + C00024
"{u'C06037': 1, u'C00641': 1, u'C03692': -2.0}",0.0,0.0,0.0,0.0,2 C03692 <=> C00641 + C06037
"{u'C03943': -1, u'C00014': 1, u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C00001': -1, u'C03341': 1}",29.0,2.98,11.89,1.92,C00001 + C00006 + C03943 <=> C00005 + C00014 + C00080 + C03341
"{u'C00010': 1, u'C11949': -1, u'C00001': -1, u'C11950': 1}",-27.19,1.45,-44.31,-11.92,C00001 + C11949 <=> C00010 + C11950
"{u'C00257': -1, u'C00028': -1, u'C00030': 1, u'C06473': 1}",-84.91,0.0,-84.91,-17.14,C00028 + C00257 <=> C00030 + C06473
"{u'C00010': 1, u'C00024': -1, u'C06717': 1, u'C19703': -1}",-22.12,1.76,-22.12,-4.46,C00024 + C19703 <=> C00010 + C06717
"{u'C00013': 1, u'C00029': 1, u'C00103': -1, u'C00075': -1}",2.27,0.56,2.27,0.46,C00075 + C00103 <=> C00013 + C00029
"{u'C00007': -1, u'C00643': -1, u'C05648': 1}",-327.94,6.5,-310.83,-83.64,C00007 + C00643 <=> C05648
"{u'C01455': 1, u'C00139': -2.0, u'C00080': 2.0, u'C00007': 1, u'C00138': 2.0, u'C00001': -1, u'C01468': -1}",454.49,6.91,437.38,50.44,C00001 + 2 C00139 + C01468 <=> C00007 + 2 C00080 + 2 C00138 + C01455
"{u'C00878': 1, u'C00652': -1, u'C00001': -1}",-23.32,2.24,-23.32,-9.41,C00001 + C00652 <=> C00878
"{u'C11130': -1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C15769': 1}",-426.68,4.53,-409.57,-66.12,C00005 + C00007 + C00080 + C11130 <=> C00001 + C00006 + C15769
"{u'C00010': 1, u'C00024': -1, u'C07447': -1, u'C16622': 1}",-2.33,0.0,-2.33,-0.47,C00024 + C07447 <=> C00010 + C16622
"{u'C01260': -1, u'C00001': -1, u'C00008': 2.0}",-38.58,9.32,-55.7,-14.99,C00001 + C01260 <=> 2 C00008
"{u'C00007': -1, u'C14335': -1, u'C00001': 1, u'C18267': 1}",84.91,0.0,102.03,27.45,C00007 + C14335 <=> C00001 + C18267
"{u'C00054': 1, u'C01156': 1, u'C00616': -1, u'C00053': -1}",-293.61,70710.68,-293.61,-59.25,C00053 + C00616 <=> C00054 + C01156
"{u'C00025': -1, u'C00026': 1, u'C00014': 1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C00001': -1}",34.64,0.28,17.52,2.83,C00001 + C00003 + C00025 <=> C00004 + C00014 + C00026 + C00080
"{u'C00006': -1, u'C00005': 1, u'C04246': 1, u'C05745': -1, u'C00080': 1}",36.79,0.0,36.79,7.43,C00006 + C05745 <=> C00005 + C00080 + C04246
"{u'C00010': 1, u'C00024': -1, u'C17220': -1, u'C00001': -1, u'C17222': 1}",-27.87,1.34,-27.87,-5.62,C00001 + C00024 + C17220 <=> C00010 + C17222
"{u'C00011': 1, u'C18277': -1, u'C18283': 1}",-7.29,3.33,-24.4,-6.57,C18277 <=> C00011 + C18283
"{u'C00011': 1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C06731': -1, u'C02923': 1}",-37.15,6.9,-54.27,-8.76,C00003 + C06731 <=> C00004 + C00011 + C00080 + C02923
"{u'C00139': -2.0, u'C00080': 2.0, u'C00071': -1, u'C00001': -1, u'C00174': 1, u'C00138': 2.0}",-83.29,0.0,-83.29,-11.21,C00001 + C00071 + 2 C00139 <=> 2 C00080 + 2 C00138 + C00174
"{u'C00010': -1, u'C00013': 1, u'C01794': 1, u'C00020': 1, u'C00002': -1, u'C00695': -1}",-10.79,1.47,-10.79,-1.45,C00002 + C00010 + C00695 <=> C00013 + C00020 + C01794
"{u'C00414': -1, u'C00854': 1, u'C00004': -1, u'C00003': 1, u'C00080': -1}",-6.05,1.48,-6.05,-1.22,C00004 + C00080 + C00414 <=> C00003 + C00854
"{u'C00041': 1, u'C00022': -1, u'C03167': 1, u'C03557': -1}",2.59,2.96,2.59,0.52,C00022 + C03557 <=> C00041 + C03167
"{u'C00007': -1, u'C00011': 1, u'C00982': -1, u'C00205': 1, u'C03717': 1}",-0.0,0.0,-17.12,-2.76,C00007 + C00982 <=> C00011 + C00205 + C03717
"{u'C00267': 2.0, u'C00208': -1, u'C00001': -1}",-13.17,2.87,-30.29,-8.15,C00001 + C00208 <=> 2 C00267
"{u'C00080': -1, u'C00007': -2.0, u'C00006': 1, u'C00005': -1, u'C00327': 2.0, u'C00001': 2.0, u'C00533': 2.0, u'C05933': -2.0}",48.16,0.0,48.16,3.89,C00005 + 2 C00007 + C00080 + 2 C05933 <=> 2 C00001 + C00006 + 2 C00327 + 2 C00533
"{u'C00030': -1, u'C00007': -1, u'C00028': 1, u'C00001': 1, u'C00156': 1, u'C00067': 1, u'C02519': -1}",84.87,0.0,84.87,11.42,C00007 + C00030 + C02519 <=> C00001 + C00028 + C00067 + C00156
"{u'C03990': 1, u'C00001': 1, u'C01352': -1, u'C00016': 1, u'C02528': -1}",-37.41,3.26,-37.41,-7.55,C01352 + C02528 <=> C00001 + C00016 + C03990
"{u'C00019': -1, u'C00021': 1, u'C10098': 1, u'C05903': -1}",-10.1,100000.0,-10.1,-2.04,C00019 + C05903 <=> C00021 + C10098
"{u'C00636': -1, u'C00035': -1, u'C00009': 1, u'C00096': 1}",6.81,3.26,6.81,1.37,C00035 + C00636 <=> C00009 + C00096
"{u'C00010': -1, u'C00024': 1, u'C00512': 1, u'C07118': -1}",-32.62,1.35,-32.62,-6.58,C00010 + C07118 <=> C00024 + C00512
"{u'C00007': -1, u'C07095': 1, u'C07094': -1}",-280.08,200000.0,-262.97,-70.76,C00007 + C07094 <=> C07095
"{u'C00855': -1, u'C00041': 1, u'C00022': -1, u'C01180': 1}",-7.27,1.89,-7.27,-1.47,C00022 + C00855 <=> C00041 + C01180
"{u'C18248': -1, u'C00084': 1}",-145.96,3.21,-145.96,-58.91,C18248 <=> C00084
"{u'C00342': -1, u'C00343': 1, u'C00033': 1, u'C00080': -1, u'C00320': -1, u'C00979': -1, u'C00094': 1, u'C00097': 1}",-46.6,0.0,-63.71,-7.35,C00080 + C00320 + C00342 + C00979 <=> C00033 + C00094 + C00097 + C00343
"{u'C00860': 1, u'C00001': -1, u'C00009': 1, u'C01100': -1}",-18.68,2.16,-35.79,-9.63,C00001 + C01100 <=> C00009 + C00860
"{u'C00010': -1, u'C00013': 1, u'C00020': 1, u'C00002': -1, u'C11944': -1, u'C11946': 1}",-10.78,1.47,-10.78,-1.45,C00002 + C00010 + C11944 <=> C00013 + C00020 + C11946
"{u'C00019': -2.0, u'C18299': -1, u'C18297': 1, u'C00021': 2.0}",-130.76,0.0,-130.76,-17.59,2 C00019 + C18299 <=> 2 C00021 + C18297
"{u'C00010': -1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C01213': 1, u'C06002': -1}",-13.06,3.38,4.05,0.65,C00003 + C00010 + C06002 <=> C00004 + C00080 + C01213
"{u'C19835': 1, u'C01054': -1}",-142.5,6.69,-142.5,-57.51,C01054 <=> C19835
"{u'C00010': 1, u'C02876': 1, u'C00009': -1, u'C00100': -1}",17.53,3.31,17.53,3.54,C00009 + C00100 <=> C00010 + C02876
"{u'C14775': 1, u'C14771': -1, u'C00001': -1}",25.17,2.9,25.17,10.16,C00001 + C14771 <=> C14775
"{u'C00169': -1, u'C00327': 1, u'C00009': 1, u'C00077': -1}",-28.19,2.96,-28.19,-5.69,C00077 + C00169 <=> C00009 + C00327
"{u'C11974': -1, u'C11921': -1, u'C11976': 1, u'C00363': 1}",-17.3,2.19,-17.3,-3.49,C11921 + C11974 <=> C00363 + C11976
"{u'C00011': 1, u'C17217': -1, u'C00080': -2.0, u'C00007': -2.0, u'C00006': 2.0, u'C00005': -2.0, u'C00001': 3.0, u'C17245': 1}",-712.45,141421.36,-695.33,-62.37,2 C00005 + 2 C00007 + 2 C00080 + C17217 <=> 3 C00001 + 2 C00006 + C00011 + C17245
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C16547': 1, u'C16546': -1}",-439.02,3.57,-421.91,-68.11,C00005 + C00007 + C00080 + C16546 <=> C00001 + C00006 + C16547
"{u'C05417': -1, u'C05424': 1, u'C00001': -1}",-0.0,0.0,-0.0,-0.0,C00001 + C05417 <=> C05424
"{u'C12643': -1, u'C00167': -1, u'C00015': 1, u'C16373': 1}",-17.79,2.11,-17.79,-3.59,C00167 + C12643 <=> C00015 + C16373
"{u'C00006': -1, u'C00005': 1, u'C05178': -1, u'C06167': 1}",117.6,100000.0,117.6,23.73,C00006 + C05178 <=> C00005 + C06167
"{u'C00007': -1, u'C15800': -1, u'C00001': 1, u'C15792': 1}",-402.11,3.51,-384.99,-103.59,C00007 + C15800 <=> C00001 + C15792
"{u'C00080': -3.0, u'C00004': -3.0, u'C00003': 3.0, u'C00001': 2.0, u'C16394': -1, u'C16396': 1}",-400.18,100000.0,-400.18,-40.38,3 C00004 + 3 C00080 + C16394 <=> 2 C00001 + 3 C00003 + C16396
"{u'C00007': -1, u'C16408': -1, u'C00001': 1, u'C16410': 1}",-695.77,100000.0,-678.66,-182.61,C00007 + C16408 <=> C00001 + C16410
"{u'C00019': -1, u'C12387': 1, u'C12386': -1, u'C00021': 1}",-41.11,0.0,-41.11,-8.3,C00019 + C12386 <=> C00021 + C12387
"{u'C00185': -1, u'C00001': -1, u'C00221': 2.0}",-11.53,3.11,-28.65,-7.71,C00001 + C00185 <=> 2 C00221
"{u'C00340': -1, u'C00435': 1, u'C00007': -1, u'C00001': 1, u'C06756': -1, u'C06757': 1}",84.91,0.0,102.03,16.47,C00007 + C00340 + C06756 <=> C00001 + C00435 + C06757
"{u'C00010': -1, u'C02060': 1, u'C00020': 1, u'C00002': -1, u'C00013': 1, u'C01607': -1}",-10.8,1.47,-10.8,-1.45,C00002 + C00010 + C01607 <=> C00013 + C00020 + C02060
"{u'C05499': -1, u'C00080': -4.0, u'C00007': -2.0, u'C00001': 3.0, u'C02373': 1, u'C05138': 1, u'C00667': 4.0, u'C00662': -4.0}",169.82,0.0,186.94,11.61,2 C00007 + 4 C00080 + 4 C00662 + C05499 <=> 3 C00001 + 4 C00667 + C02373 + C05138
"{u'C01191': 1, u'C00190': -1, u'C00110': -1, u'C00015': 1}",223.45,70710.68,223.45,45.09,C00110 + C00190 <=> C00015 + C01191
"{u'C14093': 1, u'C14092': -1}",-139.6,6.29,-139.6,-56.35,C14092 <=> C14093
"{u'C00013': -1, u'C00001': -1, u'C00009': 2.0}",-14.86,0.19,-31.97,-8.6,C00001 + C00013 <=> 2 C00009
"{u'C00010': -1, u'C00013': 1, u'C00020': 1, u'C02247': 1, u'C00002': -1, u'C00108': -1}",-10.78,1.47,-10.78,-1.45,C00002 + C00010 + C00108 <=> C00013 + C00020 + C02247
"{u'C05502': 1, u'C00080': -1, u'C00007': -1, u'C00001': 1, u'C00667': 2.0, u'C00187': -1, u'C00662': -2.0}",84.91,0.0,102.03,11.77,C00007 + C00080 + C00187 + 2 C00662 <=> C00001 + 2 C00667 + C05502
